sample	path	group
C61158	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C61158.bam	navajo
C61159	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C61159.bam	navajo
C64811	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64811.bam	williamson
C64812	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64812.bam	williamson
C64833	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64833.bam	steelman
C64834	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64834.bam	steelman
C86113	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C86113.bam	nanita
C86114	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C86114.bam	nanita
C89918	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C89918.bam	como
C89919	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C89919.bam	como
C106394	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106394.bam	s_hayden
C106395	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106395.bam	s_hayden
C106420	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106420.bam	severy
C106421	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106421.bam	severy
C106533	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106533.bam	abrams
C106534	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106534.bam	abrams
C106795	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106795.bam	e_fk_piedra
C106796	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106796.bam	e_fk_piedra
C106914	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106914.bam	w_fk_boulder
C106915	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106915.bam	w_fk_boulder
C111600	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C111600.bam	kelso
C111601	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C111601.bam	kelso
C116990	CRCT-snakeflow/results/angsd_bams/overlap_clippedC116990.bam	roan
C116991	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C116991.bam	roan
C137404	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C137404.bam	dry_gulch
C137405	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C137405.bam	dry_gulch
C146087	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C146087.bam	s_twin
C146088	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C146088.bam	s_twin
C153862	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C153862.bam	hunter
C153863	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C153863.bam	hunter
C164587	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C164587.bam	w_antelope
C164589	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C164589.bam	w_antelope
C54438	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C54438.bam	yellowstone
C54439	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C54439.bam	yellowstone
C80221	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C80221.bam	san_juan
C80222	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C80222.bam	san_juan
C88212	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C88212.bam	bonneville
C88213	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C88213.bam	bonneville
C115796	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C115796.bam	greenback
C115797	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C115797.bam	greenback
C172915	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C172915.bam	lahontan
C172916	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C172916.bam	lahontan
C132064	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132064.bam	coastal
C132065	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132065.bam	coastal
C132968	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132968.bam	westslope
C132969	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132969.bam	westslope
C140859	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C140859.bam	rio_grande
C140860	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C140860.bam	rio_grande
